Befolkningens højest fuldførte uddannelse (15-69 år) efter
bopælsområde, køn, alder, herkomst, højest fuldførte uddannelse og tid

" ,"" "","" "","" "","" "",""2020"",""2021"",""2022"",""2023"",""2024"""
Hele landet
" ,""Mænd"""
" ,"" "",""20-24 år"""
" ,"" "","" "",""Personer med dansk oprindelse"""
" ,"" "","" "","" "",""H3091 Grundforløb"",0,0,1423,2036,1907"
" ,"" "","" "","" "",""H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse"",30,26,31,23,21"
" ,"" "","" "","" "",""H35 Adgangsgivende uddannelsesforløb"",178,130,102,88,84"
" ,"" "","" "","" "",""H3510 Adgangskurser - videregående udd."",1,1,1,2,1"
" ,"" "","" "","" "",""H3520 Adgangseksamen - ingeniøruddannelse"",177,129,101,86,83"
" ,"" "","" "","" "",""H3530 Adgangsgivende værkstedsskoleforløb"",0,0,0,0,0"
" ,"" "","" "","" "",""H40 Korte videregående uddannelser, KVU"",2963,2896,2821,2912,2514"
" ,"" "","" "","" "",""H4020 Pædagogisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4024 Medier og kommunikation, KVU"",263,238,223,194,167"
" ,"" "","" "","" "",""H4025 Humanistisk og teologisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4030 Kunstnerisk, KVU"",3,6,6,6,6"
" ,"" "","" "","" "",""H4038 Samfundsfaglig, Økonomisk-Merkantil, KVU"",1795,1797,1848,1927,1621"
" ,"" "","" "","" "",""H4058 Teknisk, KVU"",649,561,500,509,450"
" ,"" "","" "","" "",""H4075 Fødevarer, bio- og laboratorieteknik, KVU"",26,31,27,30,39"
" ,"" "","" "","" "",""H4080 Jordbrug, natur og miljø, KVU"",35,26,23,30,27"
" ,"" "","" "","" "",""H4085 Maritimt, KVU"",2,7,10,6,4"
" ,"" "","" "","" "",""H4089 Sundhedsfaglig, KVU"",3,5,3,1,0"
" ,"" "","" "","" "",""H4095 Politi og forsvar mv., KVU"",170,206,157,170,156"
" ,"" "","" "","" "",""H4097 Videregående uddannelser uden nærmere angivelse, KVU"",17,19,24,39,44"
