køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Kvinder,Dansk oprindelse,20-24 år,BACH,16578.0,16532.0,15232.0,14646.0,13786.0,High
Kvinder,Dansk oprindelse,20-24 år,H3091 Grundforløb,0.0,0.0,1481.0,1994.0,1895.0,Low
Kvinder,Dansk oprindelse,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,11.0,16.0,15.0,19.0,17.0,Other
Kvinder,Dansk oprindelse,20-24 år,H35 Adgangsgivende uddannelsesforløb,92.0,76.0,63.0,52.0,57.0,Low
Kvinder,Dansk oprindelse,20-24 år,H3510 Adgangskurser - videregående udd.,0.0,0.0,0.0,4.0,11.0,Low
Kvinder,Dansk oprindelse,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,92.0,76.0,63.0,48.0,46.0,Low
Kvinder,Dansk oprindelse,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Dansk oprindelse,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,0.0,0.0,0.0,High
Kvinder,Dansk oprindelse,20-24 år,KVU,6274.0,6404.0,6244.0,6140.0,5764.0,Medium
Kvinder,Dansk oprindelse,20-24 år,LVU,1232.0,1080.0,972.0,796.0,750.0,High
Kvinder,Dansk oprindelse,20-24 år,MVU,6704.0,6176.0,5688.0,5528.0,5638.0,Medium
Kvinder,Dansk oprindelse,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,0.0,0.0,0.0,High
Kvinder,Dansk oprindelse,25-29 år,BACH,29982.0,30230.0,31746.0,33312.0,34286.0,High
Kvinder,Dansk oprindelse,25-29 år,H3091 Grundforløb,0.0,0.0,519.0,729.0,801.0,Low
Kvinder,Dansk oprindelse,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,7.0,11.0,11.0,11.0,11.0,Other
Kvinder,Dansk oprindelse,25-29 år,H35 Adgangsgivende uddannelsesforløb,53.0,48.0,37.0,28.0,35.0,Low
Kvinder,Dansk oprindelse,25-29 år,H3510 Adgangskurser - videregående udd.,3.0,2.0,0.0,0.0,1.0,Low
Kvinder,Dansk oprindelse,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,50.0,46.0,37.0,28.0,34.0,Low
Kvinder,Dansk oprindelse,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Dansk oprindelse,25-29 år,H80 Ph.d. og forskeruddannelser,45.0,50.0,42.0,31.0,34.0,High
Kvinder,Dansk oprindelse,25-29 år,KVU,15838.0,16100.0,16514.0,16742.0,17028.0,Medium
