område,køn,alder,herkomst,uddannelse,2020,2021,2022,2023,2024
Hele landet,Mænd,20-24 år,Dansk oprindelse,H3091 Grundforløb,0.0,0.0,1423.0,2036.0,1907.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,30.0,26.0,31.0,23.0,21.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H35 Adgangsgivende uddannelsesforløb,178.0,130.0,102.0,88.0,84.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H3510 Adgangskurser - videregående udd.,1.0,1.0,1.0,2.0,1.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H3520 Adgangseksamen - ingeniøruddannelse,177.0,129.0,101.0,86.0,83.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,2963.0,2896.0,2821.0,2912.0,2514.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,263.0,238.0,223.0,194.0,167.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,3.0,6.0,6.0,6.0,6.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,1795.0,1797.0,1848.0,1927.0,1621.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,649.0,561.0,500.0,509.0,450.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,26.0,31.0,27.0,30.0,39.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,35.0,26.0,23.0,30.0,27.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,2.0,7.0,10.0,6.0,4.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,3.0,5.0,3.0,1.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,170.0,206.0,157.0,170.0,156.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,KVU,17.0,19.0,24.0,39.0,44.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,1352.0,1330.0,1166.0,1090.0,1046.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,183.0,144.0,159.0,122.0,129.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,33.0,43.0,45.0,26.0,24.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,26.0,19.0,9.0,8.0,9.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,369.0,360.0,305.0,294.0,291.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,2.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,583.0,614.0,513.0,520.0,441.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,0.0,10.0,6.0,9.0,6.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,5.0,7.0,6.0,3.0,6.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,10.0,7.0,5.0,5.0,5.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,13.0,9.0,10.0,11.0,12.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,96.0,80.0,74.0,64.0,95.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,17.0,19.0,16.0,13.0,16.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,MVU,15.0,18.0,18.0,15.0,12.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,6925.0,6870.0,6352.0,6267.0,5970.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,5.0,5.0,2.0,1.0,1.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,698.0,631.0,490.0,415.0,407.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,112.0,96.0,95.0,101.0,80.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,1231.0,1301.0,1225.0,1207.0,1110.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,3125.0,3129.0,2938.0,2867.0,2672.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,1312.0,1273.0,1221.0,1328.0,1329.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,11.0,7.0,3.0,3.0,6.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,44.0,41.0,38.0,30.0,38.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,377.0,371.0,323.0,293.0,302.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,BACH,10.0,16.0,17.0,22.0,25.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,527.0,583.0,476.0,444.0,393.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,1.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,29.0,17.0,13.0,16.0,14.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,3.0,3.0,2.0,3.0,6.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,101.0,119.0,120.0,123.0,96.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,237.0,259.0,199.0,185.0,160.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,151.0,175.0,130.0,99.0,107.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,0.0,1.0,4.0,1.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,3.0,5.0,4.0,9.0,7.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,LVU,2.0,4.0,4.0,8.0,3.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,H80 Ph.d. og forskeruddannelser,1.0,0.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,1.0,0.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Indvandrere,H3091 Grundforløb,0.0,0.0,119.0,195.0,205.0
Hele landet,Mænd,20-24 år,Indvandrere,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,821.0,1218.0,1304.0,1204.0,1073.0
Hele landet,Mænd,20-24 år,Indvandrere,H35 Adgangsgivende uddannelsesforløb,27.0,21.0,15.0,10.0,19.0
